review_id,target
3,8
4,0
13,8
14,0
17,8
23,8
24,8
26,8
34,8
36,0
39,0
40,0
46,0
50,8
52,8
60,0
61,8
62,8
70,0
72,0
75,0
77,0
78,8
80,8
83,8
85,0
86,0
88,8
89,8
94,0
97,0
102,0
103,8
107,8
108,8
112,8
120,0
126,8
129,8
130,0
131,8
136,0
140,0
142,8
155,0
162,8
165,0
166,0
175,8
178,8
180,0
182,8
188,8
190,8
193,8
194,8
197,0
204,0
207,8
210,8
212,8
217,8
218,0
219,8
222,0
223,8
225,8
235,8
242,8
245,8
246,0
247,8
251,8
255,0
256,0
267,0
268,8
269,8
282,8
286,8
287,8
294,0
303,8
307,8
310,0
312,8
313,0
319,8
320,8
326,8
332,0
334,0
340,0
341,8
343,0
344,8
345,0
349,8
350,8
353,0
354,8
358,8
360,0
361,0
366,0
376,0
380,8
382,0
384,0
386,8
387,8
390,0
392,8
397,8
398,0
399,8
403,8
409,8
417,0
421,8
424,8
430,8
432,8
433,8
436,0
437,8
440,8
441,8
444,8
448,0
451,8
452,8
462,8
463,0
466,8
467,0
469,0
471,8
477,0
492,0
494,0
496,8
498,8
500,8
506,0
509,8
516,8
520,8
521,8
527,8
532,8
534,0
555,0
559,8
564,0
567,8
571,0
577,8
583,0
586,0
588,0
589,8
594,8
598,8
601,8
603,8
615,8
617,8
619,0
625,0
627,0
629,0
631,8
637,0
640,8
642,8
650,8
652,8
656,8
657,8
673,0
681,8
691,8
695,8
700,8
703,8
705,0
712,0
716,8
719,0
726,0
728,8
729,8
733,8
734,0
736,8
737,0
743,8
746,8
753,0
756,0
758,0
759,8
764,8
766,8
767,8
775,8
779,8
780,8
782,0
789,8
794,8
795,8
796,0
797,0
798,8
799,8
801,8
802,8
803,8
804,0
805,0
807,8
809,0
810,8
813,8
815,0
826,8
832,8
834,8
837,8
838,8
840,8
847,8
852,0
853,8
854,8
856,8
857,0
860,0
865,0
866,8
869,8
872,8
873,8
877,8
879,0
887,8
889,0
894,8
904,8
908,0
911,0
914,8
918,0
919,0
924,0
926,0
929,8
934,8
935,8
937,0
938,0
939,0
947,8
956,8
959,8
964,0
967,8
969,0
974,8
977,8
979,8
981,8
983,0
987,0
990,8
993,0
999,8
1001,0
1004,0
1014,8
1020,8
1032,8
1034,8
1035,0
1036,8
1053,8
1063,0
1064,8
1068,8
1074,8
1077,0
1080,8
1082,8
1090,8
1094,0
1095,8
1096,8
1100,0
1102,0
1110,8
1112,8
1115,8
1118,0
1119,8
1120,8
1123,8
1126,8
1135,0
1138,8
1139,8
1140,8
1149,8
1153,8
1157,0
1159,0
1160,0
1162,8
1163,8
1165,8
1168,0
1171,0
1172,0
1183,8
1184,8
1185,8
1186,0
1189,0
1190,8
1192,8
1195,0
1201,8
1205,8
1213,8
1217,8
1218,0
1223,8
1226,0
1228,0
1229,8
1240,8
1244,8
1245,0
1253,8
1255,8
1256,0
1261,0
1264,8
1269,8
1271,0
1273,8
1275,0
1278,0
1280,8
1281,8
1288,8
1289,8
1294,8
1295,8
1298,8
1301,0
1303,0
1304,0
1316,8
1319,8
